epochs,test loss,train loss,test acc,train acc
1.0,2.143270969390869,2.1431586742401123,0.3217,0.32052
2.0,2.0870895385742188,2.0853333473205566,0.3738,0.37522
3.0,2.062877655029297,2.0521066188812256,0.3964,0.4069
4.0,2.05234956741333,2.0291216373443604,0.4045,0.43406
5.0,2.040778875350952,2.012845039367676,0.4155,0.4488
